#RPLIDAR SCAN DATA
#COUNT=276
#Angule	Distance	Quality
358.5469 1815.3 21
359.7969 1814.8 21
1.0313 1816.3 22
2.3125 1815.5 21
3.5469 1812.5 22
4.8281 1818.5 21
6.0625 1822.3 22
7.2813 1832.0 22
8.5625 1841.3 22
9.7500 1845.3 22
11.0313 1855.5 22
12.2656 1866.0 27
13.5000 1882.5 27
14.7969 1892.8 28
16.0000 1905.3 27
17.2500 1917.0 27
18.5000 1930.5 22
19.7031 1945.5 22
20.9844 1958.8 27
22.2031 1979.0 28
23.4688 2000.8 28
24.6563 2022.0 28
25.9219 2040.0 28
27.1563 2065.3 19
28.4063 2092.0 29
29.6563 2117.0 29
30.8906 2136.0 25
32.1250 2169.5 25
33.3750 2191.8 23
34.5938 2219.8 21
35.8594 2262.3 20
37.0781 2301.0 19
38.3438 2350.8 22
39.5625 2391.0 24
40.7500 2435.5 25
42.0000 2405.3 22
43.2500 2351.5 18
44.5313 2297.5 17
45.8125 2247.5 19
47.0781 2204.3 21
48.2969 2171.0 23
49.5625 2134.3 22
50.8125 2095.5 27
52.0938 2065.8 18
53.3594 2035.5 25
54.5781 2007.5 26
55.8750 1976.5 26
57.0938 1946.3 21
58.3750 1928.0 25
59.6250 1898.3 26
60.8750 1883.8 26
62.1250 1855.0 21
63.3750 1840.0 21
64.7813 1818.8 21
66.0469 1799.0 21
67.2813 1787.0 20
68.5000 1769.3 27
69.7813 1759.0 29
71.0469 1744.3 30
72.2813 1739.0 29
73.5781 1726.0 29
74.7969 1721.0 24
76.0781 1709.5 25
77.3594 1705.5 25
78.6094 1701.0 25
79.8125 1690.3 25
81.0938 1684.8 28
82.3750 1681.0 29
83.5938 1679.5 29
84.8594 1678.8 29
86.1094 1672.8 30
87.3906 1672.5 31
88.6406 1672.3 30
89.9219 1673.5 30
91.1719 1679.3 28
92.4531 1682.5 28
93.6563 1688.3 24
94.9375 1689.8 25
96.1875 1701.0 25
97.3906 1703.0 25
98.6719 1707.8 25
99.8906 1716.8 25
101.1719 1724.0 29
102.4531 1736.8 29
103.6563 1741.5 30
104.8906 1755.8 30
106.1719 1766.3 30
107.4375 1778.0 26
108.6875 1789.8 20
109.9219 1810.3 20
110.9531 2492.0 26
112.2188 2511.8 22
113.4844 2538.3 23
114.7031 2562.0 25
115.9688 2596.5 25
117.2188 2621.5 26
118.4531 2658.8 25
119.7188 2695.8 23
120.9531 2725.8 22
122.2031 2754.8 21
123.4688 2803.8 22
124.8906 2113.5 25
126.1563 2123.3 23
127.3906 2131.0 10
128.6563 2118.3 9
131.1875 2104.3 10
132.4375 2104.3 9
137.3906 2160.5 9
138.6719 2045.5 25
139.9531 2026.0 25
141.1563 2083.8 27
142.3906 2148.8 23
143.7031 2099.0 27
144.9531 2110.3 27
146.2188 2110.3 25
147.4219 2134.8 22
148.6875 2179.5 23
149.9375 2162.0 12
151.1719 2171.0 25
152.4531 2147.8 25
153.6719 2124.8 29
154.9531 2099.5 29
156.2031 2090.0 30
157.4844 2066.3 19
158.7500 2042.0 27
160.1250 1662.5 27
161.3438 1723.8 19
162.5625 1863.0 13
163.7500 2028.8 28
164.9844 2022.8 28
166.2813 1965.0 27
167.5313 1956.0 26
168.7813 1945.8 22
170.0469 1930.5 22
171.3125 1931.3 22
172.5156 1928.5 22
183.7969 1939.8 9
184.9531 1937.3 22
186.2188 1939.0 21
187.4844 1940.8 21
188.7188 1943.8 21
189.9531 1964.3 27
191.1719 1968.5 28
192.4219 1973.0 28
193.6719 1996.8 28
194.9375 2003.5 28
196.1250 2015.8 28
197.4219 2034.5 28
198.6719 2042.5 27
199.9063 2063.5 19
201.1563 2081.3 28
202.3906 2095.8 28
203.6094 2111.8 28
204.8594 2128.8 27
206.0781 2161.3 24
207.3281 2186.5 23
208.6406 2197.0 22
209.8906 2234.3 20
211.1250 2267.0 20
212.3750 2312.8 19
213.5938 2352.0 20
214.8281 2387.8 22
216.0781 2421.5 23
217.3438 2391.3 23
218.6094 2357.8 21
219.8750 2284.5 19
221.1250 2224.3 19
222.4219 2173.8 22
223.6406 2133.0 22
224.8906 2091.8 28
226.1875 2039.3 25
227.4531 1991.8 26
228.7188 1965.0 25
229.9844 1928.8 21
231.2344 1892.5 27
232.5313 1852.8 21
233.9063 1822.3 21
235.1719 1795.8 20
236.4531 1761.0 29
237.7031 1788.5 17
238.9531 1796.5 21
240.1719 1776.3 30
241.4844 1758.3 31
242.7500 1745.5 31
243.9688 1725.5 30
245.2656 1709.0 25
246.5313 1697.5 25
247.8125 1682.3 28
249.0156 1670.8 29
250.2813 1660.0 30
251.5938 1645.5 25
252.8281 1635.5 26
254.0781 1627.3 25
255.3281 1618.5 26
256.6250 1610.5 25
257.8750 1602.8 25
259.1250 1599.3 31
260.3750 1593.5 31
261.5781 1588.3 32
262.8906 1585.8 32
264.1563 1584.0 31
265.3438 1582.5 33
266.6094 1582.3 31
267.8906 1581.5 31
269.1563 1582.8 32
270.4219 1584.3 32
271.6719 1584.5 31
272.9219 1586.8 32
274.1250 1589.8 31
275.4063 1591.3 32
276.6719 1602.0 25
277.9531 1604.5 25
279.1719 1617.8 24
280.4063 1625.3 25
281.6406 1634.3 26
282.8750 1643.5 25
284.0781 1657.3 28
285.3281 1667.8 29
286.6250 1679.5 29
287.8125 1695.0 25
289.1250 1705.5 25
290.3281 1717.5 25
291.5781 1733.5 30
292.8438 1750.5 31
294.0625 1767.8 31
295.2969 1782.3 21
296.5313 1816.3 21
297.7656 1839.8 21
299.0313 1862.3 20
300.2969 1886.5 27
301.5469 1916.3 27
302.7813 1936.8 21
304.0156 1967.3 27
305.2031 2001.5 27
306.4219 2036.5 27
307.6875 2069.5 19
308.9375 2109.0 29
